epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,211.068,1.22036,2.55868,1.98371,1.3143,0,0.48928,0.55156,0.50058,0.31312,0.48406,0.53717,0.49397,0.28974,1.26073,2.62799,2.11083,1.52063,0,0.0006633,0.0006633,0.0006633
2,414.823,1.26409,2.38729,1.68095,1.34208,0,0.67909,0.60911,0.64501,0.40794,0.66304,0.5804,0.62497,0.39692,1.1646,2.3409,1.92978,1.43364,0,0.00128608,0.00128608,0.00128608
3,619.243,1.30373,2.43219,1.64031,1.36014,0,0.56325,0.60306,0.56656,0.35889,0.57967,0.60432,0.58053,0.34332,1.17734,2.25365,1.75795,1.43901,0,0.00186486,0.00186486,0.00186486
4,850.33,1.28105,2.40201,1.54247,1.35295,0,0.69132,0.6069,0.69042,0.44736,0.71137,0.61631,0.70515,0.44353,1.14802,2.0199,1.75276,1.50624,0,0.001802,0.001802,0.001802
5,1074.21,1.2751,2.34148,1.48496,1.34984,0,0.64742,0.65611,0.67249,0.45638,0.65686,0.66187,0.67619,0.43978,1.07912,2.12183,1.4314,1.36012,0,0.001736,0.001736,0.001736
6,1278.13,1.21062,2.34034,1.39217,1.30911,0,0.73773,0.64508,0.70952,0.4786,0.72503,0.64029,0.69636,0.45496,1.08473,1.94753,1.38769,1.3785,0,0.00167,0.00167,0.00167
7,1479.95,1.17619,2.2403,1.34092,1.31038,0,0.74942,0.62396,0.71963,0.50324,0.75518,0.62876,0.72204,0.49227,1.06651,1.91576,1.36808,1.38284,0,0.001604,0.001604,0.001604
8,1682.2,1.19178,2.23009,1.30481,1.29619,0,0.71053,0.65468,0.71448,0.50261,0.72666,0.66303,0.72319,0.49632,1.03605,1.70466,1.27485,1.36077,0,0.001538,0.001538,0.001538
9,1885.82,1.16677,2.22507,1.31391,1.29126,0,0.69569,0.70983,0.73876,0.55269,0.70819,0.70422,0.73984,0.51882,0.90578,1.83646,1.22533,1.24529,0,0.001472,0.001472,0.001472
10,2092.35,1.14993,2.19806,1.26845,1.29099,0,0.75789,0.65707,0.75622,0.5478,0.76406,0.66187,0.76448,0.53019,0.94341,1.77477,1.21784,1.30342,0,0.001406,0.001406,0.001406
11,2298.58,1.11513,2.09868,1.198,1.25535,0,0.68409,0.70743,0.70188,0.50135,0.70588,0.70024,0.70972,0.46718,0.92919,1.72058,1.31651,1.24768,0,0.00134,0.00134,0.00134
12,2503.23,1.12622,2.14244,1.21109,1.24487,0,0.69149,0.72662,0.74186,0.5359,0.69605,0.73141,0.74609,0.5175,0.92811,1.75057,1.12355,1.26773,0,0.001274,0.001274,0.001274
13,2707.29,1.10666,2.07808,1.18623,1.2491,0,0.75522,0.65947,0.74649,0.53922,0.76797,0.66667,0.75377,0.51035,0.92938,1.69244,1.18496,1.27677,0,0.001208,0.001208,0.001208
14,2909.88,1.05744,1.98555,1.11547,1.23081,0,0.75614,0.66667,0.73802,0.54047,0.7507,0.66187,0.73041,0.51642,0.90271,1.62225,1.19946,1.25271,0,0.001142,0.001142,0.001142
15,3113.06,1.0309,1.96491,1.10645,1.21549,0,0.72278,0.69544,0.76701,0.57678,0.7317,0.70264,0.77708,0.55106,0.85988,1.70188,1.10756,1.23276,0,0.001076,0.001076,0.001076
